# md_1200K_96atom.extxyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
     305      96      -568.054      -568.079      0.00026439      22.6847      22.6519      0.0431038      
     306      96      -571.225      -571.212      0.000136425      21.6621      21.6899      0.0421351      
     307      96      -566.876      -566.826      0.000523815      23.2934      23.3794      0.0435529      
     308      96      -567.174      -567.112      0.000650229      22.9642      23.0906      0.0456138      
     309      96      -567.944      -567.887      0.000591358      21.819      21.9323      0.0451474      
     310      96      -568.867      -568.831      0.000380243      20.7079      20.7875      0.0461028      
     311      96      -568.889      -568.869      0.000208343      21.4872      21.5315      0.0466251      
     312      96      -568.205      -568.199      5.99198e-05      23.5276      23.5422      0.0487463      
     313      96      -567.8      -567.818      0.000183362      24.9124      24.8721      0.0455923      
     314      96      -570.173      -570.157      0.00016544      22.565      22.5677      0.0426597      
     315      96      -569.125      -569.165      0.000408889      23.3608      23.3038      0.039246      
     316      96      -570.06      -570.091      0.000321613      22.6282      22.6361      0.0349679      
     317      96      -570.68      -570.699      0.000191771      22.3282      22.3689      0.0329255      
     318      96      -570.96      -570.979      0.000192346      21.7953      21.838      0.0332707      
     319      96      -570.595      -570.622      0.000280459      22.1354      22.1236      0.036196      
     320      96      -570.181      -570.214      0.000348617      22.5699      22.521      0.0353849      
     321      96      -569.227      -569.271      0.000461657      23.3878      23.3035      0.0355944      
     322      96      -569.024      -569.006      0.000193929      23.638      23.6169      0.0440456      
     323      96      -568.845      -568.866      0.000225874      23.6265      23.6057      0.0366132      
     324      96      -569.851      -569.868      0.000177464      22.4798      22.4907      0.0347763      
     325      96      -570.804      -570.821      0.000171834      21.0832      21.0788      0.0341238      
     326      96      -571.559      -571.566      6.81726e-05      19.7561      19.7918      0.0358048      
     327      96      -570.891      -570.88      0.000117718      20.6656      20.7492      0.0429012      
     328      96      -569.857      -569.837      0.000205037      22.1263      22.198      0.0463278      
     329      96      -568.565      -568.542      0.00023923      24.0468      24.113      0.0470363      
     330      96      -568.125      -568.102      0.000239745      24.1902      24.1892      0.0437887      
     331      96      -569.002      -568.983      0.000197366      23.9122      23.977      0.0418018      
     332      96      -570.395      -570.38      0.000159049      21.5831      21.6432      0.039535      
     333      96      -570.897      -570.898      1.90147e-05      20.349      20.3726      0.0413294      
     334      96      -569.721      -569.743      0.000235649      21.9298      21.884      0.0427796      
     335      96      -567.611      -567.651      0.000412598      25.033      24.9612      0.0435843      
     336      96      -566.489      -566.536      0.000488667      26.345      26.2736      0.0452417      
     337      96      -566.545      -566.597      0.000545877      25.6903      25.6561      0.0446327      
     338      96      -567.907      -567.962      0.000570196      23.5668      23.5366      0.0417649      
     339      96      -569.206      -569.246      0.000420196      21.951      21.9761      0.0385085      
     340      96      -569.609      -569.625      0.000168685      21.8919      21.9238      0.037403      
     341      96      -569.458      -569.466      8.00397e-05      22.0115      22.0266      0.0385455      
     342      96      -569.026      -569.036      0.000109441      21.7202      21.708      0.0420513      
     343      96      -568.527      -568.544      0.000177703      21.69      21.6451      0.0452557      
     344      96      -568.304      -568.32      0.000159543      21.9107      21.8719      0.0458068      
     345      96      -568.527      -568.537      0.000100907      22.2095      22.1506      0.0443277      
     346      96      -568.018      -567.99      0.000293967      23.3844      23.3811      0.0427543      
     347      96      -568.646      -568.618      0.000297055      24.0462      24.0709      0.0398093      
     348      96      -569.746      -569.736      0.000102479      22.7558      22.7592      0.0397128      
     349      96      -570.22      -570.227      7.39483e-05      22.5646      22.5108      0.0399511      
     350      96      -570.277      -570.3      0.000237482      22.8808      22.786      0.0395994      
     351      96      -570.047      -570.075      0.00029407      23.0139      22.8984      0.0384524      
     352      96      -569.915      -569.937      0.000231706      23.1523      23.0514      0.0376097      
     353      96      -570.219      -570.229      0.000105144      23.1596      23.0871      0.0385584      
     354      96      -568.568      -568.554      0.000146013      22.3144      22.2795      0.0429467      
     355      96      -571.309      -571.299      0.000104227      22.4138      22.4159      0.0372179      
     356      96      -571.241      -571.233      8.47522e-05      22.7044      22.7175      0.0359491      
     357      96      -570.591      -570.593      2.0611e-05      23.0725      23.0806      0.036395      
