# Displaced_A15.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
     299      8      -80.1136      -80.1142      7.74283e-05      5.29337e-14      0      7.73636e-15      
     300      8      -42.143      -42.143      8.2194e-07      7.80582e-13      0      1.20367e-13      
     301      8      -91.0405      -91.0407      2.31496e-05      5.98361e-14      0      8.22404e-15      
     302      8      -84.4994      -84.4992      2.10723e-05      2.96695e-13      0      5.16623e-14      
     303      8      -61.8251      -61.8252      1.29423e-05      7.86649e-14      0      1.43469e-14      
     304      8      -91.1569      -91.1569      7.42068e-06      2.10552e-14      0      3.2753e-15      
     305      8      -54.6587      -54.6587      9.55179e-07      1.15883e-12      0      1.73707e-13      
     306      8      -72.2779      -72.2773      7.75066e-05      1.00151e-14      0      1.54783e-15      
     307      8      -74.924      -74.9233      7.92184e-05      1.33613e-13      0      1.89009e-14      
     308      8      -64.7981      -64.7981      1.02068e-06      1.42512e-13      0      2.05389e-14      
     309      8      -93.0482      -93.0483      1.646e-05      5.51171e-14      0      8.03996e-15      
     310      8      -64.3873      -64.387      3.2333e-05      1.62341e-14      0      2.5984e-15      
     311      8      -88.3527      -88.3529      1.55112e-05      1.25166e-13      0      1.53743e-14      
# Volume_BCC.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
     312      2      -16.7636      -16.7636      2.13801e-06      2.18356e-15      0      7.91034e-16      
     313      2      16.3141      16.3141      8.61541e-09      7.34578e-13      0      2.92233e-13      
     314      2      -21.2091      -21.2091      4.20815e-07      7.67996e-15      0      2.58329e-15      
     315      2      -15.7805      -15.7805      3.71775e-07      1.1914e-13      0      4.82864e-14      
     316      2      -19.0022      -19.0022      9.65461e-07      2.26927e-14      0      7.67384e-15      
     317      2      -22.6205      -22.6206      1.64722e-05      7.65254e-15      0      2.74318e-15      
