# Bulk.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
     1      8      -38.6775      -38.7277      0.00627444      1.86715e-14      0      3.43675e-15      
# EOS.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
     241      8      -25.4201      -25.3918      0.00353155      4.86349e-15      0      7.84357e-16      
     242      8      -10.1611      -10.1012      0.00749477      3.24545e-14      0      5.61472e-15      
     243      8      -10.8648      -10.825      0.00497266      3.00491e-14      0      4.96883e-15      
     244      8      -11.5581      -11.535      0.00289036      4.02649e-14      0      6.18978e-15      
     245      8      -12.2408      -12.2312      0.00120043      7.60829e-14      0      1.24141e-14      
     246      8      -12.9128      -12.9139      0.000136877      5.89333e-14      0      9.58435e-15      
     247      8      -13.5739      -13.5833      0.00116617      6.88082e-14      0      1.26372e-14      
     248      8      -14.2242      -14.2395      0.00192025      7.27052e-14      0      1.20688e-14      
     249      8      -14.8633      -14.8829      0.002449      8.54057e-14      0      1.55869e-14      
     250      8      -29.1619      -29.143      0.00236486      7.53658e-14      0      1.51441e-14      
     251      8      -15.4914      -15.5137      0.00278052      2.31577e-14      0      3.48029e-15      
     252      8      -16.1083      -16.1319      0.00295231      4.18429e-14      0      7.34193e-15      
     253      8      -16.7139      -16.7378      0.0029879      1.59051e-14      0      2.49757e-15      
     254      8      -17.3083      -17.3317      0.0029218      5.29311e-14      0      7.79802e-15      
     255      8      -17.8914      -17.9136      0.00278285      6.08496e-14      0      7.31114e-15      
     256      8      -18.4632      -18.4838      0.00257837      1.01838e-13      0      1.70259e-14      
     257      8      -19.0238      -19.0424      0.00233511      4.81089e-14      0      9.15124e-15      
     258      8      -19.5732      -19.5897      0.00206905      3.89756e-14      0      5.79882e-15      
     259      8      -20.1115      -20.1257      0.00178291      6.56629e-14      0      1.11642e-14      
     260      8      -20.6388      -20.6508      0.00149882      1.67554e-14      0      2.80273e-15      
     261      8      -31.9888      -32.0013      0.0015631      3.59316e-15      0      5.91812e-16      
     262      8      -21.1553      -21.165      0.00121479      2.54807e-14      0      4.14483e-15      
     263      8      -21.661      -21.6685      0.000935472      4.90175e-14      0      8.07629e-15      
     264      8      -22.1561      -22.1614      0.000669747      5.15849e-14      0      9.40162e-15      
     265      8      -22.6407      -22.6441      0.000415092      4.36523e-14      0      7.2257e-15      
     266      8      -23.1151      -23.1165      0.000173239      1.90578e-14      0      3.14766e-15      
     267      8      -23.5792      -23.5788      4.89416e-05      4.74583e-14      0      8.13441e-15      
     268      8      -24.0334      -24.0313      0.000252994      3.94361e-14      0      6.88888e-15      
     269      8      -24.4776      -24.4741      0.000436828      8.59684e-15      0      1.40274e-15      
# Shear.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
     270      8      -17.8044      -17.801      0.000435903      35.0061      34.8662      0.0291367      
     271      8      -18.6759      -18.6804      0.000559309      31.0977      31.1097      0.00779588      
     272      8      -18.7476      -18.7485      0.000112633      30.8517      30.8711      0.00712772      
     273      8      -18.6608      -18.6605      3.64819e-05      31.3332      31.3484      0.00532471      
