# Displaced_A15.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
   290    8    -94.3604    -94.3676    0.000903313    5.75131e-14    0    1.00276e-14    
   291    8    -89.1864    -89.2482    0.00772944    2.31243e-14    0    3.51021e-15    
   292    8    -87.1652    -87.212    0.00584701    2.70319e-14    0    3.89807e-15    
   293    8    -93.6393    -93.669    0.00370879    4.65844e-15    0    7.49401e-16    
   294    8    -7.80331    -7.98917    0.0232319    3.49405e-13    0    5.23791e-14    
   295    8    -84.9579    -84.9828    0.00311414    3.5439e-15    0    5.70869e-16    
   296    8    -92.485    -92.5364    0.00642162    2.64664e-14    0    4.85911e-15    
   297    8    -26.8398    -26.7761    0.00795809    4.0414e-13    0    7.15425e-14    
   298    8    -77.5596    -77.5441    0.00194267    1.43271e-14    0    2.4083e-15    
   299    8    -80.1241    -80.1142    0.00122992    2.95121e-14    0    4.36565e-15    
   300    8    -42.3448    -42.143    0.0252243    3.63864e-13    0    5.49772e-14    
   301    8    -90.9779    -91.0407    0.00784043    3.57373e-14    0    5.42506e-15    
   302    8    -84.6043    -84.4992    0.0131375    1.54442e-13    0    2.90893e-14    
   303    8    -61.6478    -61.8252    0.0221709    8.04967e-15    0    1.32248e-15    
   304    8    -91.1605    -91.1569    0.000456129    3.65852e-15    0    6.38132e-16    
   305    8    -54.7679    -54.6587    0.0136441    1.474e-13    0    2.32362e-14    
   306    8    -72.2801    -72.2773    0.000349643    3.40514e-15    0    5.38379e-16    
   307    8    -74.9362    -74.9233    0.00160882    4.72546e-14    0    6.73566e-15    
   308    8    -64.6661    -64.7981    0.0164994    1.60807e-14    0    2.5769e-15    
   309    8    -93.0364    -93.0483    0.00148873    3.80649e-14    0    6.28214e-15    
   310    8    -64.2884    -64.387    0.0123269    1.65599e-14    0    2.55057e-15    
   311    8    -88.3914    -88.3529    0.0048142    2.36594e-13    0    3.18076e-14    
# Volume_BCC.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
   312    2    -16.7177    -16.7636    0.0229594    1.54549e-15    0    5.36608e-16    
   313    2    16.3646    16.3141    0.0252502    2.0436e-13    0    8.29458e-14    
   314    2    -21.2263    -21.2091    0.00862399    6.62354e-15    0    2.12099e-15    
   315    2    -15.7201    -15.7805    0.0301975    3.89853e-13    0    1.59148e-13    
   316    2    -19.0294    -19.0022    0.0135805    3.00032e-14    0    1.22263e-14    
